iter	Logloss
0	0.6563208778
1	0.625154991
2	0.5993528931
3	0.576689117
4	0.5572873998
5	0.5409024057
6	0.5272133722
7	0.5158577511
8	0.5058072021
9	0.4972450131
10	0.4909905786
11	0.4853424342
12	0.4797644099
13	0.4755555206
14	0.4719774417
15	0.468887489
16	0.4657066429
17	0.4628965982
18	0.4610709155
19	0.4592465818
20	0.4577038752
21	0.4560566812
22	0.4546772916
23	0.4537978081
24	0.4529539403
25	0.4519454923
26	0.4509395456
27	0.4501735639
28	0.4499304756
29	0.4493005232
30	0.4487636673
31	0.4484942979
32	0.4479757669
33	0.44742358
34	0.4470075046
35	0.4466130971
36	0.446323755
37	0.4461179548
38	0.4458016598
39	0.4453307778
40	0.4450244051
41	0.4449916833
42	0.4448221183
43	0.444648543
44	0.4446074128
45	0.4442777626
46	0.4442163461
47	0.4440747556
48	0.4439305151
49	0.4436829662
50	0.4434836525
51	0.4434390931
52	0.4433496738
53	0.4431167394
54	0.4429790199
55	0.4427679128
56	0.4427649421
57	0.4425855784
58	0.4424668074
59	0.4424573738
60	0.442413136
61	0.4423385404
62	0.4422985898
63	0.442175082
64	0.4419455979
65	0.441873315
66	0.4417526923
67	0.4416496382
68	0.4415845536
69	0.4415465781
70	0.4415346267
71	0.4412901201
72	0.4412792417
73	0.4411820564
74	0.4411135085
75	0.4410163271
76	0.440950888
77	0.4409423639
78	0.4409357413
79	0.4409302469
80	0.4409161059
81	0.4409086179
82	0.4408917729
83	0.4407890707
84	0.4407851209
85	0.4407851159
86	0.4406984181
87	0.4405553359
88	0.4405190668
89	0.440506788
90	0.440452287
91	0.4403735011
92	0.4403650346
93	0.4403079202
94	0.4402874336
95	0.4402349784
96	0.4401947343
97	0.4401787586
98	0.4401356477
99	0.4400686754
100	0.4399776036
101	0.439931857
102	0.439817975
103	0.4396999425
104	0.4396137642
105	0.4395785956
106	0.4395167894
107	0.4394753042
108	0.4394522695
109	0.4394364639
110	0.4394255757
111	0.4393981814
112	0.4393647501
113	0.4392558397
114	0.4392007907
115	0.4391419845
116	0.439084239
117	0.4390649575
118	0.4390385851
119	0.4389436222
120	0.4389039561
121	0.4389039532
122	0.4389039524
123	0.4388960249
124	0.4387835237
125	0.4387125228
126	0.4386952616
127	0.4386439468
128	0.4386131478
129	0.4385158187
130	0.4384572535
131	0.4384412222
132	0.4383788756
133	0.4383206515
134	0.4382641349
135	0.4382641279
136	0.4382323386
137	0.4381866984
138	0.4381367324
139	0.4381367314
140	0.4381122516
141	0.4380396753
142	0.4380007315
143	0.437997586
144	0.4378255881
145	0.4377727756
146	0.4376587845
147	0.4376307672
148	0.4376192717
149	0.4375426804
150	0.4374854202
151	0.4373753485
152	0.4373672079
153	0.437273202
154	0.4371994707
155	0.4370385524
156	0.4370379226
157	0.436960855
158	0.4369214905
159	0.4368116743
160	0.436632089
161	0.4365874452
162	0.4365135362
163	0.436430363
164	0.4363588615
165	0.4362484845
166	0.4361874007
167	0.4360855436
168	0.4359890096
169	0.435879029
170	0.4358116858
171	0.43567144
172	0.4355803176
173	0.4354856584
174	0.4354651472
175	0.4354056018
176	0.4353009807
177	0.4352649012
178	0.4351639061
179	0.435155583
180	0.4351262259
181	0.4350659126
182	0.4350131996
183	0.4349402695
184	0.4348337565
185	0.4347913609
186	0.4346575378
187	0.4346470669
188	0.4345298536
189	0.4344117014
190	0.4343118476
191	0.4341963819
192	0.4340994676
193	0.4340316667
194	0.4338698295
195	0.4338355807
196	0.4337599845
197	0.4337034076
198	0.4336394431
199	0.4336388675
200	0.4336121066
201	0.433480145
202	0.4333714949
203	0.4332750077
204	0.4332096059
205	0.4331219928
206	0.4330420199
207	0.4330097735
208	0.4329435652
209	0.4328131738
210	0.4326793841
211	0.432678734
212	0.4326031912
213	0.4325663445
214	0.4325658796
215	0.4324563004
216	0.4323612642
217	0.4322741552
218	0.4321603214
219	0.4321060848
220	0.4320936092
221	0.4320594784
222	0.4320255412
223	0.4319318335
224	0.4319298254
225	0.4318684845
226	0.4318679772
227	0.431767439
228	0.4316724286
229	0.4315827816
230	0.4315675719
231	0.4315352376
232	0.4314570153
233	0.4313978746
234	0.431324908
235	0.4312793643
236	0.4311945947
237	0.4310930064
238	0.4310124377
239	0.4309281315
240	0.4309107462
241	0.4308326616
242	0.4307397743
243	0.4306992952
244	0.4306424727
245	0.4305300427
246	0.4304678606
247	0.4304399942
248	0.4303629037
249	0.4302835553
250	0.4302177245
251	0.4302110266
252	0.4301587742
253	0.4301459
254	0.4300654512
255	0.4299734707
256	0.4299676675
257	0.4299428898
258	0.4299074215
259	0.4298397976
260	0.4297823037
261	0.4297053736
262	0.4296530039
263	0.429622917
264	0.4295960357
265	0.4295555102
266	0.4294904143
267	0.4294215884
268	0.4293579631
269	0.4292628513
270	0.4292445027
271	0.4291546669
272	0.4290665882
273	0.4290097398
274	0.4289433962
275	0.4288861861
276	0.4288063583
277	0.4287771473
278	0.4287255175
279	0.4286596084
280	0.4285672435
281	0.4285038178
282	0.4284765226
283	0.4284014339
284	0.4283383203
285	0.4282651669
286	0.428209185
287	0.4281797058
288	0.4281464575
289	0.4281161383
290	0.4280544871
291	0.4280516614
292	0.4280465468
293	0.4280126335
294	0.427888095
295	0.4278365342
296	0.427763748
297	0.4277333363
298	0.4276389218
299	0.427603566
300	0.4275621746
301	0.4275299917
302	0.4274434888
303	0.4273839074
304	0.4273089829
305	0.4272053998
306	0.4270675552
307	0.4269907966
308	0.4269724759
309	0.426903807
310	0.4269021762
311	0.4268079992
312	0.4267302604
313	0.4266285652
314	0.4265595777
315	0.4265224206
316	0.4264723505
317	0.4264303246
318	0.4263308202
319	0.4262764593
320	0.4261484896
321	0.4260473081
322	0.4260258757
323	0.4259931826
324	0.4259511995
325	0.425898912
326	0.4258312822
327	0.4257665595
328	0.4257197818
329	0.425651194
330	0.4256071371
331	0.4255830332
332	0.4255151131
333	0.4255123571
334	0.425412613
335	0.4253616108
336	0.4253294996
337	0.4252296019
338	0.4251659833
339	0.425162882
340	0.4250846617
341	0.425011205
342	0.4250091332
343	0.424989062
344	0.4249526151
345	0.4248877633
346	0.4248189496
347	0.4247613261
348	0.4247093414
349	0.4247047359
350	0.4246966414
351	0.424662236
352	0.4245925352
353	0.424570701
354	0.4245301032
355	0.4245274355
356	0.4245080192
357	0.4244635254
358	0.4243956065
359	0.4243408761
360	0.4243272422
361	0.4242440673
362	0.4242415781
363	0.4242235424
364	0.4241934523
365	0.4241553439
366	0.4241143247
367	0.4240816591
368	0.4240799051
369	0.4239778377
370	0.4239340857
371	0.4238151985
372	0.4237784
373	0.4236748948
374	0.4236157035
375	0.4235350393
376	0.4234567331
377	0.4234376255
378	0.4233899052
379	0.423325425
380	0.4233028089
381	0.4232629847
382	0.423220127
383	0.4231827028
384	0.4231426428
385	0.4231130201
386	0.423103138
387	0.4230609775
388	0.4230339901
389	0.4230090891
390	0.4228922871
391	0.4228280438
392	0.4227711658
393	0.422693545
394	0.4226574512
395	0.4226356568
396	0.4226276701
397	0.4226185152
398	0.4225753138
399	0.422500839
400	0.4224741381
401	0.4224167648
