iter	Passed	Remaining
0	86	86000
1	165	82540
2	271	90299
3	333	83116
4	383	76223
5	458	75916
6	552	78411
7	632	78443
8	727	80110
9	804	79627
10	832	74881
11	930	76641
12	1013	76985
13	1118	78775
14	1162	76306
15	1235	76009
16	1291	74703
17	1367	74617
18	1398	72230
19	1463	71706
20	1527	71199
21	1632	72588
22	1711	72705
23	1765	71791
24	1808	70547
25	1895	71023
26	1958	70570
27	2020	70136
28	2030	67975
29	2086	67473
30	2171	67878
31	2190	66275
32	2236	65533
33	2316	65828
34	2422	66791
35	2466	66047
36	2501	65116
37	2545	64433
38	2597	64013
39	2690	64568
40	2722	63671
41	2746	62653
42	2812	62584
43	2856	62073
44	2885	61236
45	2968	61573
46	3012	61086
47	3046	60416
48	3096	60098
49	3158	60011
50	3206	59669
51	3254	59334
52	3299	58951
53	3352	58723
54	3421	58795
55	3488	58810
56	3511	58096
57	3578	58112
58	3642	58090
59	3679	57649
60	3735	57505
61	3781	57204
62	3847	57216
63	3882	56775
64	3942	56708
65	3988	56447
66	4046	56352
67	4095	56128
68	4129	55723
69	4172	55441
70	4198	54940
71	4262	54932
72	4319	54846
73	4352	54466
74	4404	54321
75	4451	54116
76	4525	54250
77	4554	53838
78	4604	53684
79	4619	53121
80	4659	52864
81	4696	52574
82	4746	52440
83	4819	52559
84	4834	52040
85	4860	51654
86	4915	51580
87	4973	51546
88	5011	51302
89	5036	50922
90	5098	50932
91	5130	50634
92	5178	50501
93	5241	50520
94	5305	50537
95	5368	50549
96	5427	50526
97	5466	50317
98	5511	50156
99	5566	50097
100	5614	49975
101	5695	50145
102	5729	49895
103	5781	49812
104	5875	50079
105	5923	49954
106	5959	49732
107	6017	49696
108	6060	49543
109	6111	49445
110	6149	49251
111	6185	49038
112	6221	48834
113	6258	48640
114	6332	48736
115	6380	48622
116	6439	48600
117	6458	48275
118	6506	48170
119	6579	48250
120	6648	48299
121	6662	47950
122	6715	47884
123	6797	48023
124	6849	47943
125	6892	47812
126	6941	47717
127	6993	47643
128	7060	47675
129	7103	47537
130	7173	47588
131	7223	47502
132	7297	47573
133	7362	47582
134	7452	47750
135	7494	47609
136	7532	47448
137	7567	47268
138	7622	47214
139	7665	47086
140	7719	47031
141	7763	46911
142	7841	46996
143	7888	46889
144	7965	46968
145	8044	47053
146	8093	46962
147	8139	46854
148	8181	46730
149	8245	46722
150	8322	46795
151	8369	46693
152	8449	46776
153	8554	46993
154	8602	46899
155	8654	46822
156	8696	46697
157	8775	46764
158	8882	46980
159	8958	47032
160	9069	47261
161	9165	47409
162	9276	47633
163	9363	47729
164	9422	47682
165	9484	47650
166	9537	47571
167	9573	47413
168	9613	47270
169	9661	47171
170	9722	47136
171	9797	47166
172	9874	47204
173	9968	47323
174	10031	47290
175	10094	47260
176	10144	47170
177	10220	47199
178	10299	47239
179	10360	47196
180	10426	47179
181	10491	47155
182	10539	47053
183	10646	47212
184	10701	47142
185	10785	47200
186	10863	47230
187	10911	47127
188	10962	47038
189	11025	47001
190	11097	47006
191	11152	46934
192	11189	46789
193	11240	46700
194	11305	46672
195	11396	46748
196	11457	46704
197	11532	46712
198	11599	46687
199	11639	46558
200	11717	46576
201	11795	46599
202	11858	46556
203	11924	46527
204	12001	46542
205	12061	46488
206	12116	46417
207	12155	46285
208	12202	46180
209	12281	46202
210	12374	46272
211	12417	46156
212	12482	46122
213	12529	46019
214	12586	45955
215	12652	45924
216	12700	45828
217	12779	45841
218	12869	45895
219	12963	45960
220	13016	45880
221	13073	45816
222	13124	45729
223	13169	45622
224	13242	45613
225	13323	45630
226	13366	45517
227	13433	45484
228	13507	45478
229	13558	45391
230	13633	45386
231	13696	45340
232	13758	45290
233	13804	45190
234	13868	45145
235	13948	45154
236	14039	45199
237	14089	45109
238	14151	45059
239	14188	44928
240	14222	44793
241	14296	44780
242	14404	44873
243	14441	44743
244	14486	44642
245	14557	44619
246	14618	44565
247	14663	44464
248	14705	44353
249	14773	44320
250	14811	44198
251	14866	44128
252	14904	44005
253	14974	43980
254	15026	43902
255	15082	43833
256	15148	43794
257	15185	43672
258	15265	43675
259	15342	43666
260	15389	43574
261	15468	43572
262	15547	43567
263	15630	43575
264	15704	43557
265	15738	43429
266	15789	43346
267	15832	43245
268	15877	43146
269	15941	43102
270	16016	43084
271	16107	43110
272	16155	43022
273	16247	43048
274	16313	43007
275	16362	42922
276	16456	42953
277	16514	42890
278	16607	42917
279	16683	42900
280	16735	42820
281	16806	42790
282	16869	42741
283	16905	42621
284	16965	42562
285	17022	42496
286	17091	42459
287	17140	42376
288	17212	42345
289	17274	42292
290	17312	42180
291	17363	42100
292	17398	41983
293	17450	41904
294	17493	41806
295	17570	41790
296	17646	41770
297	17712	41724
298	17774	41672
299	17836	41618
300	17898	41564
301	17951	41489
302	17995	41394
303	18096	41430
304	18158	41378
305	18221	41326
306	18314	41341
307	18391	41320
308	18455	41270
309	18525	41234
310	18579	41162
311	18646	41118
312	18711	41070
313	18751	40965
314	18821	40928
315	18861	40826
316	18913	40750
317	18989	40725
318	19039	40644
319	19099	40586
320	19191	40594
321	19260	40555
322	19343	40544
323	19392	40461
324	19446	40389
325	19495	40307
326	19572	40282
327	19688	40337
328	19751	40283
329	19814	40229
330	19909	40239
331	19947	40134
332	20039	40139
333	20152	40184
334	20269	40236
335	20365	40245
336	20459	40251
337	20552	40253
338	20648	40262
339	20735	40250
340	20787	40172
341	20877	40167
342	20952	40133
343	21018	40081
344	21088	40037
345	21179	40032
346	21306	40095
347	21434	40158
348	21517	40138
349	21568	40056
350	21632	39997
351	21710	39966
352	21759	39882
353	21836	39849
354	21895	39782
355	21959	39723
356	22039	39696
357	22106	39644
358	22158	39564
359	22243	39544
360	22296	39465
361	22355	39400
362	22403	39313
363	22494	39303
364	22555	39240
365	22608	39163
366	22664	39092
367	22725	39029
368	22775	38947
369	22848	38903
370	22885	38801
371	22925	38701
372	23008	38675
373	23054	38588
374	23100	38501
375	23150	38419
376	23208	38352
377	23271	38293
378	23335	38236
379	23410	38196
380	23462	38119
381	23523	38055
382	23599	38017
383	23674	37978
384	23737	37918
385	23806	37868
386	23878	37822
387	23939	37759
388	24007	37708
389	24065	37640
390	24114	37559
391	24161	37475
392	24207	37389
393	24304	37382
394	24395	37364
395	24461	37309
396	24516	37237
397	24566	37158
398	24627	37096
399	24724	37086
400	24803	37051
401	24866	36990
